"主聘系所","作者順序","刊物名稱","專兼任","年度","所屬計畫案","教師姓名","是否具有審稿制度","期刊出版地國家/地區","期刊論文是否為跨國(地區)合作","狀態","發表卷數","發表型式","發表年份","發表月份","發表期數","系所代碼","論文名稱","論文收錄分類","識別號","通訊作者"
"高齡暨健康照護管理系","第四(以上)作者","運動表現期刊","專任","114","無","江勁政","是","中華民國","否","續聘","12","電子期刊","2025","3","1","4641","運動能改善睡眠？中高齡者睡眠障礙之評估與預防","TSSCI","713840","是"
"高齡暨健康照護管理系","第四(以上)作者","服務學習與社會連結學刊","專任","114","無","江貞紅","是","中華民國","否","續聘","8","電子期刊","2025","4","8","4641","大學生國際志工參與歷程與成果研究－以泰北華文學校服務為例","其他","713721","是"
"高齡暨健康照護管理系","第三作者","台灣性學學刊","專任","114","無","宋素卿","是","中華民國","否","續聘","31","紙本及電子期刊","2025","12","0","4641","大學生之性知識、性態度、性行為與其愛滋病防治知識與態度之關係","其他","713794","是"
"高齡暨健康照護管理系","第三作者","長庚科技學刊","專任","114","無","車慧蓮","是","中華民國","否","續聘","0","電子期刊","2025","6","42","4641","在職進修護理人員壓力因應、健康促進生活型態與幸福感之相關性研究","其他","713722","否"
"高齡暨健康照護管理系","第一作者","教育與心理研究","專任","114","無","侯佳惠","是","中華民國","否","續聘","48","紙本及電子期刊","2025","12","4","4641","技職校院高齡照顧系學生對高齡者態度、職業意向與學習幸福感之學習歷程研究—AIO整合照護與青銀共照體驗介入初探","TSSCI","713913","是"
"高齡暨健康照護管理系","第一作者","International Journal of Mental Health Promotion","專任","114","無","侯佳惠","是","美國","否","續聘","27","紙本及電子期刊","2025","12","12","4641","Enhancing Well-Being through Psychological Resilience and Social Capital: An Empirical Study of Female Entrepreneurs in the Long-Term Care Indutry","SSCI","713914","是"
"高齡暨健康照護管理系","第一作者","Journal of Computers","專任","114","無","侯佳惠","是","中華民國","否","續聘","36","紙本及電子期刊","2025","8","4","4641","The Application Analysis of Intelligent Technology in Long-Term Care: An Empirical Study of Elderly Care Institutions in Taiwan","EI","713915","否"
"高齡暨健康照護管理系","第一作者","Computers in Human Behavior","專任","114","無","侯佳惠","是","美國","否","續聘","167","紙本及電子期刊","2025","2","0","4641","Using artificial intelligence for predictive analysis of dementia awareness among community adult learners and evaluation of dementia-friendliness in community environments","SSCI","713916","否"
"高齡暨健康照護管理系","第二作者","全球知識發展期刊","專任","114","無","施福忠","是","中華民國","否","續聘","3","電子期刊","2025","3","1","4641","以文獻分析法探討科技輔助對心理健康與社會支持系統之影響","其他","713814","是"
"高齡暨健康照護管理系","第二作者","護理雜誌","專任","114","無","徐秀琹","是","中華民國","否","續聘","72","電子期刊","2025","2","1","4641","代謝症候群職場員工伴隨阻塞性睡眠呼吸中止症相關因素探討—以北部某地區醫院為例","其他","713772","是"
"高齡暨健康照護管理系","第二作者","Sage Open Aging","專任","114","無","張淑紅","是","美國","否","續聘","11","電子期刊","2025","8","0","4641","High-Burden and Self-Efficacy Are Associated with Quality of Life in Family Caregivers in Taiwan: A Cross-Sectional Study","其他","713682","否"
"高齡暨健康照護管理系","第一作者","護理雜誌","專任","114","無","張淑紅","是","中華民國","否","續聘","72","紙本及電子期刊","2025","2","1","4641","高齡照護人才培育新方向—社會共照觀點之 跨專業協作力,借鏡日本高齡照護經驗","其他","713683","是"
"高齡暨健康照護管理系","第三作者","Healthcare","專任","114","無","張淑紅","是","瑞士","否","續聘","13","電子期刊","2025","1","1","4641","Exploring Health Promotion Behaviors, Occupational Burnout, and Sleep Disturbances in Traditional Industry Workers","SSCI, SCIE","713684","是"
"高齡暨健康照護管理系","第三作者","Journal of Pediatric Nursing","專任","114","無","陳美燕","是","美國","是(跨國合作)","續聘","0","電子期刊","2025","9","0","4641","The relationship between health literacy and medical decision conflict among parents of children newly diagnosed with central precocious puberty","SCIE, SSCI","713667","否"
"高齡暨健康照護管理系","第二作者","Journal of Medical Internet Research","專任","114","無","黃惠玲","是","加拿大","否","續聘","27","電子期刊","2025","12","0","4641","Effect of a Smart Clothes–Assisted Care System for Persons Living With Dementia on Family Caregivers: Longitudinal Nonblinded Quasi-Experimental Study","SCIE","713800","否"
"高齡暨健康照護管理系","第四(以上)作者","Geriatric Nursing","專任","114","ZRRPF3L0041","黃惠玲","是","美國","否","續聘","64","紙本及電子期刊","2025","5","0","4641","User evaluations of a Dementia case management information system: A cross-sectional study.","SSCI, SCIE","713801","是"
"高齡暨健康照護管理系","第三作者","International Journal of Mental Health Nursing","專任","114","無","黃惠玲","是","澳大利亞","否","續聘","34","紙本及電子期刊","2025","2","1","4641","Challenges for family caregivers of persons with mild cognitive impairment: A qualitative longitudinal study.","SSCI, SCIE","713802","否"
