"衝突類型","論文名稱","發表年份","教師","不一致內容","正確的","各筆明細"
"刊物名稱不一致","Acetylshikonin induces necroptosis via the RIPK1/RIPK3-dependent pathway in lung cancer","2023","李江文、紀妙青、江耀璋","Aging-Us | Aging (Albany Ny)","Aging (Albany NY)","李江文: Aging-Us || 紀妙青: Aging-Us || 江耀璋: Aging (Albany Ny)"
"刊物名稱不一致","Antrodin C Isolated from Antrodia Cinnamomea Induced Apoptosis through ROS/AKT/ERK/P38 Signaling Pathway and Epigenetic Histone Acetylation of TNFα in Colorectal Cancer Cells","2023","郭星君、鄧志娟","Antioxidants | Antioxidants (Basel)","Antioxidants (Basel)","郭星君: Antioxidants || 鄧志娟: Antioxidants (Basel)"
"刊物名稱不一致","Burnout and Mental Health and Well-Being of School Nurses After the First Wave of the COVID-19 Pandemic: A National Cross-Sectional Survey","2023","張麗春、陳曉蓉","Journal of School Nursing | The Journal of School Nursing","The Journal of School Nursing","張麗春: Journal of School Nursing || 陳曉蓉: The Journal of School Nursing"
"刊物名稱不一致","Mulberroside F improves airway hyperresponsiveness and inflammation in asthmatic mice","2023","劉倩君、吳淑如、黃文忠","Kaohsiung Journal of Medical Sciences | The Kaohsiung Journal of Medical Sciences","The Kaohsiung Journal of Medical Sciences","劉倩君: Kaohsiung Journal of Medical Sciences || 吳淑如: The Kaohsiung Journal of Medical Sciences || 黃文忠: Kaohsiung Journal of Medical Sciences"
"刊物名稱不一致","Protective Effects of Sophoraflavanone G by Inhibiting TNF-α-Induced MMP-9-Mediated Events in Brain Microvascular Endothelial Cells","2023","蔡明明、鄭麗菁、謝喜龍","Int. J. Mol. Sci. | International Journal of Molecular Sciences","International Journal of Molecular Sciences","蔡明明: Int. J. Mol. Sci. || 鄭麗菁: International Journal of Molecular Sciences || 謝喜龍: International Journal of Molecular Sciences"
"刊物名稱不一致","不同層級羽球選手殺球球速與關節角速度之分析","2023","高幸利、鄭賀珍","台灣羽球運動學刊 | 臺灣羽球運動學刊","臺灣羽球運動學刊","高幸利: 台灣羽球運動學刊 || 鄭賀珍: 臺灣羽球運動學刊"
"刊物名稱不一致","Development of nanoparticles incorporated with quercetin and ACE2-membrane as a novel therapy for COVID-19","2024","王東弘、陳琦媛、林資展","Journal of Nanobiotechnology | J Nanobiotechnology","Journal of Nanobiotechnology","王東弘: Journal of Nanobiotechnology || 陳琦媛: J Nanobiotechnology || 林資展: Journal of Nanobiotechnology"
"刊物名稱不一致","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","2024","黃文忠、鄭淑臻","International Immunopharmacology | Int Immunopharmacol","International Immunopharmacology","黃文忠: International Immunopharmacology || 鄭淑臻: Int Immunopharmacol"
"刊物名稱不一致","Shared decision-making, treatment decision regret, and vision-related quality of life among parents of children with myopia: An online survey in Taiwan","2024","王亞妮、張麗春","Cont Lens Anterior Eye | Contact Lens and Anterior Eye","Contact Lens and Anterior Eye","王亞妮: Cont Lens Anterior Eye || 張麗春: Contact Lens and Anterior Eye"
"刊物名稱不一致","Target and non-target analysis with molecular network strategies for identifying potential index compounds from Momordica charantia L. for alleviating non-alcoholic fatty liver","2024","邱群惠、李昱宗","Industrial Crops & Products | Industrial Crops and Products","Industrial Crops and Products","邱群惠: Industrial Crops & Products || 李昱宗: Industrial Crops and Products"
"刊物名稱不一致","The experiences of public health nurses during the COVID-19 in Taiwan: A qualitative study","2024","巫菲翎、林嘉玲、孫瑞瓊","Nursing Open | Nursing 0Pen","Nursing Open","巫菲翎: Nursing Open || 林嘉玲: Nursing Open || 孫瑞瓊: Nursing 0Pen"
"刊物名稱不一致","Using Science Mapping to Review Research on Culturally Responsive Teaching in Early Childhood Education","2024","田佳靈、陳必卿","Educational Innovations and Emerging Technologies (Eiet) | Educational Innovations and Emerging Technologies","Educational Innovations and Emerging Technologies","田佳靈: Educational Innovations and Emerging Technologies (Eiet) || 陳必卿: Educational Innovations and Emerging Technologies"
