識別號,年度,承接代表,系所代碼,主聘系所,教師姓名,專兼任,狀態,所屬計畫案,專利/新品種名稱,國別,專利類型,技術報告代碼,進度狀況,技術報告審核完成日期,作者順序,申請人/權利人,申請人/權利人類型,申請日期/公告日期,終止日期,發照機關,證書字號
176308,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,推車,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/02/11,2039/07/01,經濟部智慧財產局,D236391
176309,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,移位輔具,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/02/11,2039/06/04,經濟部智慧財產局,D236348
176310,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,置物架,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/02/11,2039/06/05,經濟部智慧財產局,D236350
176311,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,支撐架,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/02/11,2039/06/04,經濟部智慧財產局,D236349
176312,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,尿杯架,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/02/11,2039/07/01,經濟部智慧財產局,D236392
176313,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,固定夾,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/03/21,2039/06/04,經濟部智慧財產局,D237118
176314,114,學校,4641,高齡暨健康照護管理系,石惠美,專任,續聘,,盒組,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/03/21,2039/06/06,經濟部智慧財產局,D237121
176239,114,學校,4641,高齡暨健康照護管理系,江貞紅,專任,續聘,,多功能折疊輪椅桌板,國內,發明專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/03/21,2044/02/28,經濟部智慧財產局,I878035
176247,114,學校,4641,高齡暨健康照護管理系,宋雅俐,專任,續聘,,具遮雨結構之輪椅,國內,發明專利,,已核准,,第四(以上)作者,長庚學校財團法人長庚科技大學,本校,2025/05/21,2044/04/18,經濟部智慧財產局,I884770
176266,114,學校,4641,高齡暨健康照護管理系,巫奉約,兼任,續聘,,卡牌組,國內,設計專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/08/11,2040/08/10,經濟部智慧財產局,D239908
176270,114,學校,4641,高齡暨健康照護管理系,巫奉約,兼任,續聘,,卡牌組(Brainy box),國內,設計專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/09/21,2040/09/20,經濟部智慧財產局,D240604
176273,114,學校,4641,高齡暨健康照護管理系,巫奉約,兼任,續聘,,卡牌組(字慧),國內,設計專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/09/21,2040/09/20,經濟部智慧財產局,D240603
176283,114,學校,4641,高齡暨健康照護管理系,巫奉約,兼任,續聘,,卡牌組,國內,設計專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/11/21,2040/11/20,經濟部智慧財產局,D241626
175036,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,卡牌組,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/09/21,2039/12/10,經濟部智慧財產局,D240603
176238,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,多功能折疊輪椅桌板,國內,發明專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/03/21,2044/02/28,經濟部智慧財產局,I878035
176243,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,具遮雨結構之輪椅,國內,發明專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/05/21,2044/04/18,經濟部智慧財產局,I884770
176265,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,卡牌組,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/08/11,2040/08/10,經濟部智慧財產局,D239908
176269,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,卡牌組(Brainy box),國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/09/21,2040/09/20,經濟部智慧財產局,D240604
176272,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,卡牌組(字慧),國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/09/21,2040/09/20,經濟部智慧財產局,D240603
176282,114,學校,4641,高齡暨健康照護管理系,施福忠,專任,續聘,,卡牌組,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/11/21,2040/11/20,經濟部智慧財產局,D241626
176262,114,學校,4641,高齡暨健康照護管理系,劉杏元,專任,續聘,,下肢復健裝置,國內,發明專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/08/01,2044/11/06,經濟部智慧財產局,I892889
176274,114,學校,4641,高齡暨健康照護管理系,蔡碧藍,專任,續聘,,教具,國內,設計專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/09/21,2040/04/14,經濟部智慧財產局,D240695
176287,114,學校,1531,護理系,余怡珍,專任,續聘,,Nail Clipper Device,美國,發明專利,,已核准,,第一作者,長庚學校財團法人長庚科技大學,本校,2025/12/02,2044/06/27,United States Patent,"US12,484,680B2"
176279,114,學校,1531,護理系,吳淑美,專任,續聘,,新生兒呼吸評估之輔助警示系統,國內,發明專利,,已核准,,第二作者,長庚學校財團法人長庚科技大學,本校,2025/11/01,2045/02/12,經濟部智慧財產局,I904008
176240,114,學校,1531,護理系,呂雀芬,專任,續聘,,多功能折疊輪椅桌板,國內,發明專利,,已核准,,第三作者,長庚學校財團法人長庚科技大學,本校,2025/03/21,2044/02/28,經濟部智慧財產局,I878035
176246,114,學校,1531,護理系,呂雀芬,專任,續聘,,具遮雨結構之輪椅,國內,發明專利,,已核准,,第四(以上)作者,長庚學校財團法人長庚科技大學,本校,2025/05/21,2044/04/18,經濟部智慧財產局,I884770
176227,114,學校,1531,護理系,李香君,專任,續聘,,灌食器,國內,設計專利,,已核准,,第四(以上)作者,長庚學校財團法人長庚科技大學,本校,2025/01/01,2039/05/07,經濟部智慧財產局,D235817
