識別號,年度,主聘系所,教師姓名,專兼任,狀態,專案案號,專案案名,專案類型,計畫性質,是否為補助在籍學生之人才培育相關課程(計畫)或就業學程,執行起始日期,執行結束日期,工作類別,經費狀態,計畫總金額(元),政府出資金額,企業出資金額,其他單位出資金額,學校(研究學院)出資金額,主要經費來源,單位名稱,次要經費來源,受惠機構名稱,國內委託單位,國外委託單位,國內合作單位,國外合作單位,他校轉入的專案,專案已轉至他校
1285218,114,化妝品應用系,林傳福,專任,續聘,CMRPF1P0092,(接續CORPF1P0061)(長長科)整合型基於傳統中藥配方尋找標靶嗜中性白血球發炎的關鍵藥材:治療急性呼吸窘迫症及腫瘤之子計畫一：基於網絡藥理學的中藥複方雞鳴散活性成分與最佳化萃取製程研究(2/3),其他單位產學計畫,A1專題研究,,2025/1/1,2025/12/31,主持人,原核定,"523,250",0,0,"523,250",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1262441,114,化妝品應用系,黃俊薰,專任,續聘,EZRPF3Q0241,以微針促進千日菊素之經皮吸收,校內補助案,--,,2025/1/1,2025/12/31,主持人,原核定,"235,000",0,0,0,"235,000",學校,長庚科技大學,,,長庚科技大學,,,,否,否
1262235,114,化妝品應用系,吳秋燕,專任,續聘,EZRPF3Q0351,114年度鼓勵大專校院選送學生出國研修或國外專業實習(學海計畫)-中醫護理與美容實務跨領域海外學習計畫,政府其他案件,--,,2025/5/31,2026/10/31,主持人,原核定,"868,114","723,428",0,0,"144,686",教育部,教育部,,,教育部,,,,否,否
1262469,114,化妝品應用系,廖婉玉,專任,續聘,EZRPF3Q0381,114年度鼓勵大專校院選送學生出國研修或國外專業實習(學海計畫)-日本東京Sachi Salon美甲實務實習,政府其他案件,--,,2025/5/31,2026/10/31,主持人,原核定,"370,254","308,545",0,0,"61,709",教育部,教育部,,,教育部,,,,否,否
1285224,114,化妝品應用系,吳秋燕,專任,續聘,EZRPF3Q0811,114年第2梯次鼓勵國內大專校院選送學生出國研修或國外專業實習-「學海築夢」計畫--全人健康促進跨領域海外實習計畫,政府其他案件,--,,2025/11/26,2026/10/31,共同(協同)主持人,,0,0,0,0,0,教育部,教育部,,長庚科技大學,教育部,,,,否,否
1262233,114,化妝品應用系,吳秋燕,專任,續聘,FCRPF3Q0021,國中技藝教育扎根計畫-新北市立佳林國中醫護社團,企業產學計畫(含公營及私人企業),A9其他,,2025/9/1,2026/8/31,共同(協同)主持人,,0,0,0,0,0,企業(公營、民營、國外及私人企業),臺灣銀行股份有限公司王長庚公益信託暨諮詢委員會,,,臺灣銀行股份有限公司王長庚公益信託暨諮詢委員會,,,,否,否
1262424,114,化妝品應用系,林傳福,專任,續聘,NMRPF3N0053,苦蔘黃酮類衍生物抗乾癬之研究,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"1,410,000","1,410,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262501,114,化妝品應用系,林鴻銘,專任,續聘,PZRPF3Q0041,114年代謝症候群防治宣導暨個案賦能計畫，分項二：倡議代謝症候群防治暨個案改善獎勵,政府產學計畫,A9其他,,2025/5/19,2025/12/15,共同(協同)主持人,,0,0,0,0,0,政府其他部會,衛生福利部國民健康署,,,衛生福利部國民健康署,,,,否,否
1262502,114,化妝品應用系,林鴻銘,專任,續聘,SCRPF3Q0011,報價自動化管理系統建置,企業產學計畫(含公營及私人企業),A4技術服務,,2025/1/1,2025/6/30,主持人,原核定,"200,000",0,"200,000",0,0,企業(公營、民營、國外及私人企業),北斗七星實業有限公司,,,北斗七星實業有限公司,,,,否,否
1262236,114,化妝品應用系,吳秋燕,專任,續聘,SCRPF3Q0051,芳香調理專業人才培育訓練,其他單位產學計畫,A4技術服務,,2025/3/1,2026/2/28,主持人,原核定,"220,000",0,0,"220,000",0,其他單位(包含法人機構),社團法人中華芳香調理教育學會,,,社團法人中華芳香調理教育學會,,,,否,否
