識別號,年度,承接代表,系所代碼,主聘系所,教師姓名,專兼任,技術移轉或授權,技轉/授權名稱,技轉或授權廠商名稱,技轉或授權金額,技轉或授權起始日,技轉或授權終止日,合約編號,是否取得專利,專利證書字號
30270,112,學校,1534,通識教育中心,陳文詮,專任,技術移轉,新式止鼾枕,綠樣實業股份有限公司,"13,381",2023/1/1,2023/12/31,無,否,
30273,112,學校,1534,通識教育中心,陳文詮,專任,技術移轉,新式止鼾枕,綠樣實業股份有限公司,"16,481",2023/2/1,2023/12/31,無,否,
30271,112,學校,3353,化妝品應用系,廖婉玉,專任,技術移轉,行動美甲車,亞洲色彩國際企業有限公司,"84,000",2023/5/25,2024/5/31,無,否,
30272,112,學校,3945,保健營養系,蕭千祐,專任,技術移轉,蛋品抗生素檢測試劑,定頤科技有限公司,"126,000",2023/8/1,2026/7/31,無,否,
33743,113,學校,1531,護理系,余怡珍,專任,技術移轉,智能止血裝置,榮恩國際有限公司,"52,500",2024/10/1,2025/9/30,無,否,
33740,113,學校,1534,通識教育中心,陳文詮,專任,授權,新式止鼾枕,綠樣實業股份有限公司,"15,498",2024/1/1,2024/12/31,無,否,
33741,113,學校,1534,通識教育中心,陳文詮,專任,授權,新式止鼾枕,綠樣實業股份有限公司,"17,955",2024/2/1,"2024/12/31,13,306",無,否,
33742,113,學校,3353,化妝品應用系,陳姿吟,專任,技術移轉,仿真美觀手指之上色及其製法,健樂師生醫股份有限公司,"404,250",2024/3/15,2025/3/15,無,否,
34745,114,學校,1531,護理系,黃子豪,專任,技術移轉,AI病理學數位學習教材計畫,永大書局有限公司,"75,000",2025/6/15,2027/6/14,無,否,
34739,114,學校,1534,通識教育中心,陳文詮,專任,技術移轉,新式止鼾枕,綠樣實業股份有限公司,"13,306",2025/1/1,2025/12/31,無,否,
31153,112,學校,3241,嘉義分部護理系,高淑真,專任,技術移轉,研磨器結構技術移轉暨優化研究,彼鴿勁生技發展有限公司,"52,500",2023/10/1,2024/9/30,無,否,
30274,112,學校,3241,嘉義分部護理系,謝靜秀,專任,技術移轉,洗澡手套,上和勤實業有限公司,"73,500",2023/7/15,2024/7/14,無,否,
